nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
pre_52_train_U00096.3/3139624-3139700,2,0,0,0,1,1,1,0,0,6,1,0,0,1,1,0,0,1,0,2,2,1,2,1,2,4,3,0,1,2,2,1,1,1,0,2,1,1,5,2,1,1,0,2,1,1,2,0,0,1,2,2,2,2,2,0,0,0,0,1,0,1,0,1,sRNA
pre_53_train_U00096.3/4027473-4027550,1,0,0,0,1,1,0,0,1,6,1,0,0,0,1,1,0,1,0,1,1,1,1,1,2,2,4,0,1,2,2,1,1,0,0,3,1,1,5,2,1,2,0,2,1,0,4,1,0,1,2,3,1,1,3,0,0,1,1,1,1,1,0,1,sRNA
pre_54_train_U00096.3/758482-758412,1,0,0,0,1,1,0,0,0,5,1,0,0,0,1,0,0,1,0,0,1,1,2,2,2,2,4,0,1,2,2,1,0,1,0,2,1,1,4,2,1,1,0,2,1,1,2,2,0,1,2,2,1,1,3,0,0,2,0,1,0,1,0,1,sRNA
pre_55_train_U00096.3/375263-375186,1,0,0,1,1,1,1,0,0,7,1,0,0,1,0,0,1,1,0,0,2,1,1,1,3,2,3,1,1,2,2,1,0,0,2,2,1,1,5,2,1,2,0,2,2,0,2,1,0,2,2,2,0,1,4,0,0,0,0,1,1,1,0,1,sRNA
pre_56_train_U00096.3/4457188-4457265,1,0,1,0,2,1,0,0,0,6,1,0,0,0,1,1,0,1,0,0,1,1,1,1,2,2,3,0,2,2,2,2,0,0,0,4,1,1,4,2,1,2,0,2,1,1,2,1,0,1,3,3,1,1,3,0,2,0,0,1,0,1,1,1,sRNA
pre_57_train_U00096.3/4218439-4218516,1,0,0,0,1,1,1,0,1,6,1,0,0,1,0,0,0,1,0,2,1,1,3,1,2,2,2,1,1,2,3,1,1,1,0,2,1,1,4,2,1,2,0,2,1,1,3,1,0,1,1,3,2,1,3,0,0,1,1,0,0,1,0,1,sRNA
pre_58_train_U00096.3/375162-375085,1,0,0,1,1,1,1,0,0,7,1,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,3,1,1,2,2,1,0,0,2,2,1,1,5,2,1,2,0,2,2,1,2,0,0,2,2,2,1,1,3,0,0,0,0,1,0,1,0,1,sRNA
pre_59_train_U00096.3/4249324-4249394,1,0,0,0,2,1,1,0,0,6,1,0,0,1,0,0,1,3,0,0,1,2,1,1,2,2,2,0,1,1,2,2,1,0,0,2,1,1,4,2,1,1,0,2,1,0,1,2,0,1,2,2,0,0,4,0,0,1,1,0,1,1,0,1,sRNA
pre_60_train_U00096.3/4285305-4285375,1,0,0,0,2,1,0,0,0,6,1,0,0,1,1,0,0,1,0,2,1,1,1,1,2,2,3,1,1,2,1,1,1,0,0,2,1,1,5,2,1,0,0,2,1,0,2,1,1,1,2,2,0,1,3,0,0,1,0,0,1,2,0,1,sRNA
pre_61_train_U00096.3/508585-508662,1,0,0,0,3,3,0,0,0,5,1,0,0,0,1,0,0,1,1,1,1,2,2,1,3,2,3,1,2,3,1,2,0,1,0,3,1,1,4,2,1,1,0,1,1,1,1,1,0,2,2,2,1,2,3,0,0,1,0,0,0,1,0,1,sRNA
pre_62_train_U00096.3/411134-411213,2,0,0,0,1,1,0,0,0,6,1,1,1,0,1,0,0,1,0,2,1,2,2,1,3,3,3,0,1,2,2,1,1,0,0,2,1,1,5,2,1,1,0,2,1,2,2,1,0,1,3,2,1,2,3,1,0,1,0,0,0,1,0,1,sRNA
pre_63_train_U00096.3/377391-377468,1,0,0,0,1,1,1,0,0,6,1,0,0,1,0,0,0,1,0,1,1,2,2,1,2,2,3,1,1,2,3,2,0,0,1,2,2,1,4,2,1,3,0,2,1,1,1,1,0,1,2,2,1,1,4,0,0,1,0,1,0,1,1,1,sRNA
pre_64_train_U00096.3/4103587-4103510,1,0,1,0,2,1,1,0,2,6,1,0,0,0,0,1,0,1,0,0,1,1,0,1,2,2,4,0,1,2,1,2,0,0,2,4,2,0,3,2,1,1,0,2,2,0,3,1,0,1,3,3,0,1,3,0,1,1,0,0,1,1,1,1,sRNA
pre_65_train_U00096.3/111549-111626,2,0,0,2,1,1,0,0,1,6,1,0,0,0,0,1,0,2,1,0,2,1,2,1,3,2,1,1,1,2,1,2,0,1,0,2,1,1,4,2,1,0,0,2,1,2,3,0,0,1,2,2,2,1,3,0,0,1,1,0,0,2,1,1,sRNA
pre_66_train_U00096.3/837658-837588,1,0,1,1,2,1,1,0,0,6,2,0,0,0,0,0,0,3,0,0,1,1,1,1,3,3,2,0,1,2,1,1,1,1,0,2,1,0,4,2,1,0,0,2,2,0,2,1,0,1,2,2,0,2,3,0,0,0,0,0,1,1,0,1,sRNA
pre_67_train_U00096.3/339880-339811,2,0,0,1,1,1,0,0,0,6,2,0,0,0,2,0,1,1,0,1,1,1,1,2,2,2,3,0,1,1,1,1,1,0,0,2,2,1,3,1,1,1,0,1,2,1,2,1,0,2,2,2,1,1,3,0,0,0,0,1,0,1,0,0,sRNA
pre_68_train_U00096.3/111433-111509,1,1,0,2,1,1,0,0,1,5,1,0,0,1,0,0,0,2,0,1,3,1,2,1,3,1,2,0,1,2,1,2,0,1,0,1,2,0,4,2,1,1,0,2,1,1,3,1,0,0,3,2,0,1,4,0,0,3,0,0,0,2,0,2,sRNA
pre_69_train_U00096.3/2317027-2316951,1,0,0,2,0,1,0,1,0,6,2,0,0,1,2,0,1,1,1,0,1,1,1,1,3,2,2,1,1,2,0,2,1,1,0,3,2,0,5,1,1,1,0,2,1,0,2,1,0,2,2,1,2,1,3,0,0,1,0,0,1,1,1,1,sRNA
pre_70_train_U00096.3/4614462-4614540,2,0,0,0,1,1,0,0,0,6,1,0,0,1,1,0,0,1,0,0,2,1,2,1,2,3,2,1,2,2,3,1,0,0,1,3,1,1,7,2,1,1,0,2,1,1,1,1,0,1,1,4,1,1,2,0,0,1,1,1,0,2,0,1,sRNA
pre_71_train_U00096.3/3392198-3392129,1,0,1,0,1,2,0,0,0,5,1,0,0,0,0,0,0,2,0,0,1,1,0,1,3,2,1,2,1,2,1,2,0,0,0,2,1,0,5,2,1,1,0,2,1,1,3,1,0,1,2,2,0,1,4,0,0,1,1,0,1,1,1,1,sRNA
pre_72_train_U00096.3/4296024-4296094,1,0,0,1,2,1,1,0,0,6,1,0,0,0,0,0,0,3,0,0,1,2,1,1,3,2,1,0,1,3,2,1,0,0,0,2,1,0,5,2,1,0,0,2,1,1,1,2,1,1,2,2,0,1,3,0,0,1,1,0,1,1,0,1,sRNA
pre_73_train_U00096.3/248203-248280,1,0,0,1,1,1,0,0,0,7,1,0,0,0,0,1,0,1,0,0,2,0,1,1,3,2,3,1,1,2,2,1,0,0,2,2,1,1,5,2,1,2,0,2,2,0,3,1,0,0,1,5,0,2,3,0,0,1,0,0,1,1,2,1,sRNA
pre_74_train_U00096.3/4614361-4614439,2,0,0,0,1,1,0,0,0,6,1,0,0,0,1,1,0,1,0,1,3,1,2,1,2,2,2,1,1,2,3,1,0,1,1,2,1,1,6,2,1,1,0,2,1,1,2,1,0,1,1,3,1,1,2,0,0,2,1,1,0,2,0,1,sRNA
pre_75_train_U00096.3/2347277-2347207,1,0,0,0,1,3,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,1,3,2,3,2,5,0,1,2,1,1,0,1,1,2,1,1,4,2,1,2,0,2,1,1,3,0,0,1,2,2,2,0,2,0,0,1,0,0,0,1,0,1,sRNA
pre_76_train_U00096.3/2304646-2304729,1,0,0,1,1,2,1,1,0,7,1,0,0,0,0,0,2,2,1,0,2,2,1,1,3,1,3,2,1,3,1,0,0,0,0,2,1,1,6,2,1,1,1,1,2,1,3,2,0,2,2,2,0,1,3,0,0,2,1,0,1,1,0,1,sRNA
pre_77_train_U00096.3/3392289-3392220,1,0,0,0,1,2,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,1,0,1,2,3,2,2,1,2,1,2,0,0,1,2,1,0,5,2,1,1,0,2,1,1,3,1,0,1,2,2,0,1,4,0,0,1,1,0,1,1,1,1,sRNA
pre_78_train_U00096.3/900752-900832,1,1,1,0,1,1,1,0,0,4,1,1,0,0,0,0,0,1,0,0,2,3,2,1,4,3,4,1,1,3,1,0,0,2,0,2,2,2,5,2,1,2,0,2,1,0,4,0,0,0,2,3,0,1,2,1,0,1,0,0,0,2,1,1,sRNA
pre_79_train_U00096.3/4614260-4614338,2,0,0,0,1,1,1,0,0,7,1,0,0,0,1,1,0,1,0,1,3,1,2,1,2,2,2,1,2,2,2,1,0,1,1,2,1,1,5,2,1,1,0,2,1,1,2,1,1,2,1,3,1,1,2,0,0,1,1,0,0,1,0,1,sRNA
pre_80_train_U00096.3/4053533-4053610,1,0,0,0,3,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,4,0,1,3,2,1,0,0,0,4,1,1,5,2,0,2,1,2,1,1,3,1,0,1,4,3,0,1,2,0,0,1,0,1,1,1,1,1,sRNA
pre_81_train_U00096.3/3042395-3042472,1,0,0,0,1,1,1,0,0,6,1,0,0,1,0,1,1,1,0,1,0,2,2,1,4,1,3,1,1,1,1,1,0,0,1,2,1,0,4,2,1,2,0,2,1,3,4,0,0,1,2,2,1,1,3,1,0,1,1,1,0,1,1,1,sRNA
pre_82_train_U00096.3/501447-501524,1,0,0,1,1,0,0,1,0,6,1,0,0,0,0,1,0,1,1,1,1,1,3,2,2,1,2,0,1,2,2,2,0,0,0,2,2,1,4,3,1,1,0,2,1,2,3,0,0,1,1,3,1,1,1,0,1,3,1,0,0,2,2,1,sRNA
pre_83_train_U00096.3/2304759-2304842,1,0,0,1,1,3,1,0,0,5,1,1,0,0,0,0,1,3,1,0,1,1,1,1,3,1,3,2,1,4,1,0,0,0,0,2,1,1,5,2,1,2,1,1,2,0,4,3,0,1,2,2,1,1,4,0,1,2,1,0,0,1,0,1,sRNA
pre_84_train_U00096.3/244132-244209,1,1,0,0,1,1,0,0,1,6,0,1,0,0,0,1,0,1,0,0,1,1,1,2,4,2,2,0,1,2,2,2,0,0,0,3,1,1,5,2,1,2,0,1,1,0,4,1,0,2,1,4,0,1,4,0,0,0,0,1,1,1,2,1,sRNA
pre_85_train_U00096.3/2118524-2118594,1,0,0,0,1,1,0,0,0,6,2,0,0,1,1,0,0,1,0,0,1,1,2,1,3,2,2,1,1,2,1,2,0,1,0,3,1,0,5,2,1,1,0,2,1,1,2,0,0,2,3,2,2,1,2,0,0,0,0,0,0,1,0,1,sRNA
pre_86_train_U00096.3/3231382-3231301,1,0,0,0,0,2,1,0,0,4,1,0,0,0,1,1,0,1,1,0,1,2,3,1,2,4,2,3,0,1,1,2,1,0,1,3,1,0,6,0,0,3,3,2,1,1,3,2,0,1,1,1,3,2,2,0,0,3,0,0,1,1,0,1,sRNA
pre_87_train_U00096.3/339973-339904,1,0,0,1,1,1,0,0,0,6,1,0,0,0,2,0,1,2,0,0,1,1,1,2,2,2,3,1,1,2,1,0,1,0,1,2,2,2,3,1,0,1,2,1,2,0,2,1,0,0,2,2,1,1,3,0,0,1,0,1,0,1,0,0,sRNA
pre_88_train_U00096.3/2662430-2662359,1,0,1,0,1,2,0,0,0,6,1,0,0,0,1,0,0,2,0,0,1,1,2,0,3,2,1,1,2,2,1,2,1,0,0,2,1,0,5,2,1,0,0,3,1,2,2,0,0,1,2,3,1,1,3,0,0,1,1,0,0,1,0,1,sRNA
pre_89_train_U00096.3/2568269-2568188,1,0,0,0,0,2,0,0,0,4,1,0,0,0,2,1,0,1,2,1,1,2,3,1,2,4,1,2,1,2,1,1,1,0,0,3,1,0,7,1,1,3,3,2,1,1,2,1,0,1,1,1,3,2,2,0,0,3,0,0,0,1,0,1,sRNA
pre_90_train_U00096.3/354690-354766,1,1,0,1,2,1,0,0,0,7,1,0,0,0,0,0,0,2,0,1,2,1,3,2,5,0,1,0,1,3,2,0,0,0,0,2,1,0,5,2,1,1,0,2,1,3,3,0,0,1,3,2,0,1,2,1,0,2,1,0,0,1,0,1,sRNA
pre_91_train_U00096.3/4295911-4295981,1,0,0,1,2,1,2,0,0,7,1,0,0,0,0,0,0,3,0,0,1,1,1,1,3,1,1,0,2,3,1,1,0,0,0,2,1,0,4,2,1,0,0,2,1,1,1,2,2,1,2,3,0,1,2,0,0,0,1,0,1,1,1,1,sRNA
pre_92_train_U00096.3/3392380-3392311,0,0,1,0,1,2,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,1,1,1,2,3,2,2,1,2,1,2,0,0,1,2,1,0,5,2,1,2,0,2,1,2,3,0,0,1,1,2,1,1,3,0,0,1,2,0,0,1,1,1,sRNA
pre_93_train_U00096.3/4450947-4451025,1,0,0,0,1,2,1,0,0,5,2,0,0,0,1,0,0,1,0,1,1,1,3,3,3,3,2,0,2,2,2,0,0,1,1,2,0,1,5,2,2,3,0,1,1,1,3,1,1,1,1,3,1,1,2,0,0,1,0,1,0,1,0,1,sRNA
pre_94_train_U00096.3/4094411-4094481,1,0,0,0,2,1,0,0,0,5,1,0,0,1,1,1,0,1,0,2,1,0,1,2,2,2,2,1,1,2,3,0,1,1,0,1,2,1,3,3,1,1,0,1,1,0,2,0,1,0,2,3,0,2,2,0,0,1,0,1,0,2,1,1,sRNA
pre_95_train_U00096.3/1062488-1062410,2,2,0,0,0,1,1,1,1,6,0,1,0,0,2,0,1,2,0,1,1,2,2,1,2,3,3,0,1,2,1,2,1,0,0,2,2,1,4,2,1,1,0,1,2,1,1,0,1,1,2,2,2,1,3,0,0,0,0,0,0,1,0,2,sRNA
pre_96_train_U00096.3/4323249-4323329,1,0,0,1,1,2,2,0,0,3,1,1,0,0,1,0,0,3,0,0,2,3,0,0,3,3,4,0,1,3,2,1,0,2,0,4,1,1,5,2,1,2,1,1,1,0,2,1,1,0,1,1,2,0,3,1,0,1,1,1,0,2,0,1,sRNA
pre_97_train_U00096.3/3708275-3708354,2,0,0,1,1,1,0,0,0,5,2,0,1,0,1,1,1,2,0,1,2,1,2,1,3,2,2,1,1,2,1,1,0,1,0,2,2,1,7,2,1,1,1,1,0,2,2,0,0,1,2,2,0,1,2,0,1,3,0,0,0,1,1,1,sRNA
pre_98_train_U00096.3/3313325-3313255,1,0,0,0,1,1,0,0,0,3,2,2,0,0,1,0,0,0,0,0,0,0,1,2,1,2,4,0,1,2,2,1,0,0,0,4,1,0,3,2,2,1,1,2,1,0,3,2,0,2,2,2,1,1,3,0,1,2,0,0,1,1,1,1,sRNA
pre_99_train_U00096.3/4245095-4245165,3,0,0,0,2,1,0,1,0,6,2,0,0,0,1,0,0,4,0,0,0,1,2,1,4,1,1,0,2,1,1,2,0,1,0,1,1,0,3,4,1,0,0,1,1,0,2,1,0,2,2,3,1,1,2,0,0,0,0,0,0,3,0,1,sRNA
pre_100_train_U00096.3/3231482-3231401,1,0,0,1,0,2,0,0,0,5,1,0,0,0,1,0,0,3,1,0,1,2,3,1,4,2,1,2,1,3,1,0,0,0,1,3,1,1,7,1,1,3,3,2,1,0,3,1,0,0,1,1,2,1,3,0,0,2,0,1,0,2,0,1,sRNA
pre_101_train_U00096.3/4628698-4628776,0,1,0,0,1,1,3,0,0,5,1,0,0,1,1,0,0,1,0,1,2,1,2,1,2,3,3,2,2,2,1,1,2,0,0,2,1,1,2,2,1,1,0,2,0,2,3,1,1,2,1,2,1,2,3,1,0,0,1,0,0,1,0,2,sRNA
pre_102_train_U00096.3/508662-508585,1,1,0,0,1,1,2,0,1,5,2,0,0,0,1,0,0,0,0,1,1,1,1,0,3,2,4,0,1,2,2,1,2,1,0,3,1,1,4,2,1,1,1,3,2,1,3,0,1,0,3,2,0,1,2,1,0,1,1,1,0,1,0,0,sRNA
pre_103_train_U00096.3/2304420-2304503,1,1,0,1,1,3,1,0,0,6,1,0,0,0,0,0,1,3,2,0,1,2,3,1,4,1,3,2,1,3,1,0,0,0,0,1,4,1,5,2,1,2,1,1,0,2,3,1,0,1,2,2,1,1,2,0,0,2,0,0,0,1,0,1,sRNA
pre_104_train_U00096.3/508763-508686,1,2,0,0,1,1,2,0,1,6,1,0,0,0,1,0,0,0,0,1,1,1,2,0,3,2,3,0,3,2,1,1,3,0,0,3,1,1,4,2,0,1,1,3,1,1,3,0,1,0,3,2,0,1,2,1,0,1,1,1,0,1,0,0,sRNA
pre_105_train_U00096.3/375362-375287,1,1,0,1,1,1,2,0,1,5,0,1,0,1,0,0,1,1,1,0,1,0,1,1,3,1,3,1,1,2,2,1,0,1,2,1,2,1,4,2,1,1,0,2,1,0,2,1,0,1,1,3,1,1,2,0,0,1,0,1,1,2,1,1,sRNA
pre_106_train_U00096.3/375085-375162,1,1,0,0,1,1,2,1,2,4,0,0,0,0,1,0,0,1,0,0,2,1,2,0,2,4,3,0,1,3,2,2,0,2,0,3,1,1,4,3,1,1,1,3,2,0,1,0,1,0,3,2,0,1,3,0,0,2,0,0,0,1,1,0,sRNA
pre_107_train_U00096.3/375186-375263,1,2,0,0,1,1,2,1,2,4,0,0,0,0,1,0,0,1,0,0,2,1,2,0,2,4,3,0,2,3,1,2,1,1,0,3,1,1,4,3,0,1,1,3,2,0,1,0,1,0,3,2,0,1,3,0,0,2,0,0,0,1,1,0,sRNA
pre_108_train_U00096.3/2593057-2592981,1,1,0,0,2,1,3,0,1,4,0,0,0,0,1,0,0,0,0,1,1,2,1,0,2,2,3,0,1,3,2,4,0,0,0,3,1,1,4,2,1,1,1,3,2,1,1,0,1,2,3,2,1,1,2,0,0,2,0,1,0,1,0,0,sRNA
pre_109_train_U00096.3/3150740-3150670,1,0,0,0,1,1,0,0,1,6,1,1,1,0,1,0,0,2,0,1,2,0,1,2,2,1,3,0,1,1,1,2,0,0,0,3,1,1,3,1,0,2,0,1,2,2,2,1,1,1,3,2,1,1,3,1,0,0,1,0,0,1,0,0,sRNA
pre_110_train_U00096.3/3098534-3098464,0,1,0,0,3,2,1,0,1,3,0,1,0,1,0,0,0,2,0,1,1,1,2,1,2,3,2,0,1,3,1,1,1,0,1,2,1,1,2,2,1,1,1,2,0,0,3,1,1,1,1,2,0,0,4,0,1,1,0,0,0,1,1,1,sRNA
pre_111_train_U00096.3/805859-805929,1,0,0,1,1,2,0,1,0,3,1,0,0,0,1,2,0,1,1,1,2,0,0,1,3,2,1,0,2,2,1,1,0,1,1,4,3,1,1,0,1,1,0,0,1,0,2,1,0,0,1,2,0,0,5,1,0,2,1,1,0,3,0,3,sRNA
pre_112_train_U00096.3/66675-66610,1,0,1,0,2,1,2,0,0,6,0,0,0,1,0,0,1,2,0,0,1,1,1,1,2,1,4,0,1,2,1,1,1,0,0,3,1,1,3,2,1,2,0,1,1,0,2,0,1,0,2,2,1,0,2,0,0,1,0,0,0,1,0,1,sRNA
pre_113_train_U00096.3/3139700-3139624,1,1,0,0,1,1,2,0,2,4,0,0,0,0,2,0,0,0,0,1,1,1,2,0,2,4,3,0,1,2,2,2,0,2,1,3,2,1,4,2,1,1,2,2,1,0,1,1,1,0,2,2,1,1,2,0,0,2,0,1,0,1,1,0,sRNA
pre_114_train_U00096.3/762854-762925,2,0,0,0,1,1,3,0,0,5,1,3,0,0,0,0,0,1,2,1,2,1,0,0,3,1,1,0,1,1,2,1,1,0,0,2,1,0,4,2,2,2,0,1,1,1,2,1,1,2,2,2,0,1,1,0,0,0,1,0,1,2,1,1,sRNA
pre_115_train_U00096.3/1958748-1958441,2,3,3,5,10,2,6,2,8,8,5,3,2,5,5,4,3,2,4,7,2,6,6,2,7,4,9,3,4,6,7,6,8,5,8,4,4,9,7,2,1,6,7,6,2,2,8,4,6,2,2,8,7,4,4,5,4,8,0,4,2,6,2,6,sRNA
pre_116_train_U00096.3/1413556-1413734,1,1,2,3,2,0,1,3,2,1,0,1,4,1,3,13,0,1,1,2,2,2,1,2,3,2,1,3,0,2,3,8,4,1,3,3,1,1,1,2,1,2,3,1,3,1,0,6,5,2,5,3,2,3,2,8,3,3,1,5,4,10,4,11,sRNA
pre_117_train_U00096.3/29551-29603,1,0,0,2,2,0,0,0,0,1,0,1,0,1,1,3,0,0,1,0,0,0,0,0,2,0,0,1,0,3,0,2,2,0,1,1,2,0,1,0,0,0,0,0,1,0,0,3,0,1,1,3,1,1,2,0,1,2,1,1,1,0,2,0,sRNA
pre_118_train_U00096.3/740988-741030,1,1,0,4,0,0,0,0,1,1,0,1,2,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,1,1,1,0,0,2,0,sRNA
pre_119_train_U00096.3/3705997-3706039,2,1,0,3,0,0,1,0,0,1,0,0,1,2,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,1,2,0,1,0,1,sRNA
pre_120_train_U00096.3/1816219-1816261,1,3,0,3,1,0,0,1,1,1,0,1,1,1,2,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,1,0,1,1,sRNA
pre_121_train_U00096.3/2714346-2714304,0,0,0,4,0,1,1,0,2,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,1,1,1,0,0,0,2,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,1,1,1,1,0,0,1,sRNA
pre_122_train_U00096.3/4108633-4108592,2,0,1,2,0,0,0,0,0,1,0,2,1,2,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,2,1,0,1,0,1,0,sRNA
pre_123_train_U00096.3/3070037-3070079,2,2,0,3,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0,0,1,1,0,2,0,0,1,sRNA
pre_124_train_U00096.3/2945959-2945917,1,0,0,4,1,1,0,0,1,2,0,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,1,0,1,1,sRNA
pre_125_train_U00096.3/3741027-3740985,1,0,0,5,1,0,0,0,0,1,0,1,1,3,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,1,1,0,2,0,0,2,sRNA
pre_126_train_U00096.3/1103343-1103252,0,2,1,3,2,2,0,1,0,0,1,1,4,1,1,5,0,2,0,2,3,0,0,0,1,1,1,3,0,2,0,2,2,1,1,0,1,0,0,1,0,3,0,0,0,0,3,2,0,2,3,4,3,1,0,4,0,0,1,2,6,1,2,4,sRNA
pre_127_train_U00096.3/3156521-3156584,1,3,0,0,1,0,0,2,0,1,0,1,0,0,0,4,1,1,1,0,3,2,0,0,1,0,1,0,1,3,0,3,0,0,0,1,1,1,0,2,0,1,0,0,0,1,0,1,2,3,1,0,2,0,4,0,0,0,1,2,1,3,0,3,sRNA
pre_128_train_U00096.3/3659011-3659082,2,0,0,1,2,3,1,1,1,1,1,0,1,0,2,1,1,2,1,0,0,1,1,1,2,1,2,2,0,1,0,3,2,3,3,2,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,1,3,1,1,0,1,0,5,sRNA
pre_129_train_U00096.3/4436566-4436688,8,3,5,2,3,1,2,0,5,2,3,1,3,0,3,4,1,1,0,2,2,0,0,2,0,0,2,2,2,3,0,3,4,2,2,3,3,0,1,1,5,0,0,0,0,0,2,1,3,4,0,4,0,1,2,2,2,1,2,0,3,2,1,3,sRNA
pre_130_train_U00096.3/2734292-2734154,2,1,0,1,1,3,1,5,4,2,2,0,4,2,1,5,0,1,2,2,2,1,1,0,0,0,3,3,1,3,2,6,1,1,3,3,1,1,1,2,3,0,2,3,3,4,1,1,4,3,1,8,2,0,4,1,4,1,1,2,1,3,5,4,sRNA
pre_131_train_U00096.3/105224-105313,3,1,4,1,0,0,1,1,4,3,1,1,2,1,0,3,2,2,0,2,2,0,0,0,2,2,2,0,0,1,0,0,2,1,1,0,2,2,3,2,4,0,1,1,0,0,2,3,1,1,2,3,0,0,2,0,1,1,1,0,2,0,3,4,sRNA
pre_132_train_U00096.3/190685-190794,1,2,2,4,1,1,4,1,3,1,4,2,2,0,0,0,2,0,2,0,1,1,2,1,0,3,3,0,2,1,1,2,1,1,4,3,0,5,1,1,6,5,5,0,3,0,1,2,1,1,2,1,2,0,1,0,1,1,2,2,1,0,4,0,sRNA
nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
pre_0_train_U00096.3/780554-780626,0,0,1,0,2,2,0,1,1,0,0,1,0,2,1,4,1,1,0,1,2,0,1,0,0,1,1,2,0,0,1,2,0,1,3,1,0,1,2,1,0,1,0,1,2,4,2,1,2,1,2,1,1,0,1,1,3,2,2,3,1,0,0,1,tRNA
pre_1_train_U00096.3/4175754-4175826,0,0,2,1,1,1,1,2,0,0,2,1,0,1,0,2,1,0,0,1,2,1,0,1,1,3,0,2,1,0,1,1,1,1,2,1,1,0,1,1,1,2,1,1,3,3,3,0,0,0,4,1,0,1,1,0,2,1,3,2,1,1,1,0,tRNA
pre_2_train_U00096.3/3215598-3215670,1,0,1,0,2,0,1,1,0,1,1,1,0,3,1,0,0,1,2,0,2,1,0,3,0,1,3,1,2,0,1,1,0,0,2,0,0,4,2,1,1,2,2,0,1,3,1,3,1,0,3,2,2,0,0,0,1,3,1,3,0,0,0,0,tRNA
pre_3_train_U00096.3/4175388-4175460,0,0,1,0,3,0,0,2,0,0,0,2,2,3,1,3,0,2,1,1,1,1,0,0,2,1,1,4,1,0,1,0,2,0,4,0,1,0,2,2,0,1,0,0,2,3,0,1,0,2,3,1,0,1,2,0,2,1,3,2,1,0,0,0,tRNA
pre_4_train_U00096.3/2044549-2044621,1,0,1,0,0,1,1,0,1,0,1,1,0,4,2,1,0,0,2,0,0,0,0,2,2,1,1,6,1,1,0,0,0,2,2,1,2,1,2,1,0,0,2,1,2,2,0,1,1,1,2,1,2,0,2,1,2,0,1,2,1,1,2,1,tRNA
pre_5_train_U00096.3/564723-564796,0,0,2,0,1,1,1,2,1,0,1,2,0,2,0,1,2,2,0,0,2,1,0,1,0,2,2,1,1,1,2,2,1,0,2,2,0,3,3,0,0,5,1,0,1,2,1,1,0,0,3,0,1,0,1,2,3,1,2,1,1,0,0,0,tRNA
