Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize
Essendon,5,h,2020000.0,8.0,5.0,3.0,3.0,900.0
Brunswick,3,h,1260000.0,5.2,3.0,1.0,6.0,563.0
Thomastown,3,h,630000.0,15.3,3.0,1.0,3.0,654.0
Richmond,2,h,270000.0,2.6,2.0,1.0,1.0,0.0
Burwood,4,h,1471000.0,10.4,4.0,2.0,2.0,797.0
St Kilda,2,u,615000.0,5.0,2.0,1.0,1.0,1123.0
Glen Iris,3,h,1530000.0,9.2,3.0,1.0,1.0,753.0
Abbotsford,2,h,1097000.0,2.5,3.0,1.0,2.0,220.0
Elsternwick,2,u,834500.0,7.2,2.0,1.0,2.0,538.0
Malvern,2,h,1326000.0,7.4,2.0,1.0,0.0,254.0
Prahran,2,u,585000.0,4.5,2.0,1.0,1.0,0.0
South Melbourne,3,u,1250000.0,1.9,3.0,2.0,3.0,0.0
Fitzroy North,2,t,930000.0,3.5,2.0,3.0,0.0,2778.0
Yarraville,3,h,900500.0,7.0,2.0,1.0,1.0,208.0
Melton,3,h,373500.0,31.7,3.0,2.0,2.0,586.0
Brighton East,3,h,1405000.0,10.7,3.0,1.0,1.0,490.0
Moonee Ponds,3,h,1100000.0,6.9,3.0,1.0,2.0,572.0
Doncaster,3,h,1100000.0,13.9,3.0,2.0,2.0,771.0
Hampton,5,h,3075000.0,13.7,3.0,2.0,2.0,830.0
Hawthorn East,4,h,2800000.0,7.5,4.0,1.0,2.0,764.0
Oakleigh South,4,h,881500.0,14.7,4.0,2.0,2.0,581.0
West Footscray,3,h,660000.0,6.4,3.0,2.0,2.0,134.0
Rosanna,5,h,2530000.0,11.4,5.0,3.0,1.0,1850.0
Kew,4,h,2600000.0,5.6,4.0,3.0,2.0,700.0
Ferntree Gully,4,h,850000.0,24.8,4.0,2.0,1.0,738.0
Glen Iris,3,h,1307500.0,7.3,3.0,1.0,1.0,316.0
Ascot Vale,3,h,955000.0,5.9,3.0,1.0,1.0,263.0
Armadale,2,u,700500.0,6.3,2.0,1.0,1.0,0.0
Balwyn,5,h,2400000.0,7.9,5.0,3.0,2.0,785.0
Balwyn North,3,h,2350000.0,9.7,3.0,2.0,2.0,625.0
Essendon,1,u,326000.0,7.5,1.0,1.0,1.0,0.0
Elwood,2,h,1180000.0,7.7,2.0,1.0,0.0,249.0
Williamstown North,2,u,546000.0,8.9,2.0,1.0,1.0,2023.0
Port Melbourne,2,h,1115000.0,3.8,2.0,1.0,0.0,120.0
Forest Hill,4,h,1000000.0,15.4,4.0,2.0,2.0,624.0
Carrum,2,t,495000.0,31.2,2.0,1.0,1.0,198.0
Greensborough,2,u,670000.0,16.1,2.0,1.0,1.0,704.0
Northcote,4,h,1590000.0,5.5,4.0,1.0,1.0,484.0
Niddrie,3,u,746000.0,11.2,3.0,1.0,1.0,256.0
Northcote,1,u,400000.0,5.5,1.0,1.0,1.0,0.0
Sunshine,2,h,490000.0,12.6,2.0,1.0,1.0,322.0
Oakleigh,4,h,1495000.0,12.3,4.0,2.0,1.0,581.0
Ivanhoe,3,h,1300000.0,7.8,3.0,2.0,2.0,334.0
Bentleigh,4,h,1380000.0,13.0,4.0,1.0,2.0,580.0
Spotswood,2,h,802000.0,6.2,2.0,1.0,1.0,174.0
Fitzroy North,1,u,330000.0,3.5,1.0,1.0,1.0,0.0
Bentleigh East,3,h,1390000.0,13.9,4.0,2.0,2.0,590.0
Heidelberg,3,h,1400000.0,10.6,3.0,1.0,1.0,827.0
Maribyrnong,2,t,675000.0,4.3,2.0,1.0,2.0,198.0
Sunshine,3,h,660000.0,12.6,3.0,2.0,2.0,660.0
Glen Iris,3,h,1765000.0,9.2,3.0,1.0,2.0,650.0
Brighton East,4,h,2100000.0,10.3,4.0,3.0,2.0,608.0
Parkville,1,u,401000.0,2.6,1.0,1.0,1.0,0.0
Moonee Ponds,4,h,1940000.0,6.9,4.0,2.0,3.0,675.0
Doncaster,2,u,452000.0,13.9,2.0,1.0,1.0,67.0
Glenroy,3,h,815000.0,11.2,3.0,1.0,1.0,697.0
Ormond,4,h,2050000.0,11.8,4.0,2.0,2.0,647.0
Camberwell,4,h,2750000.0,7.8,4.0,3.0,1.0,0.0
Toorak,3,t,2050000.0,4.6,3.0,2.0,2.0,339.0
Brunswick,3,h,1280000.0,5.2,3.0,1.0,1.0,439.0
Hampton,3,h,1620000.0,13.7,3.0,1.0,2.0,783.0
Newport,4,h,1265000.0,8.4,5.0,2.0,2.0,774.0
Yarraville,2,h,760000.0,7.0,3.0,1.0,1.0,472.0
Albion,3,h,730000.0,13.9,3.0,2.0,3.0,628.0
Doncaster,3,u,700000.0,13.9,3.0,2.0,2.0,0.0
Glen Iris,3,h,1660000.0,9.2,3.0,1.0,2.0,297.0
Newport,2,h,650000.0,8.4,2.0,1.0,1.0,149.0
Berwick,3,h,835000.0,35.2,3.0,2.0,2.0,957.0
Glenroy,2,h,741250.0,13.0,2.0,1.0,1.0,668.0
Kensington,2,t,750000.0,4.2,2.0,1.0,1.0,325.0
South Yarra,2,u,850000.0,3.3,2.0,2.0,2.0,17200.0
Hoppers Crossing,4,h,537000.0,18.4,4.0,2.0,2.0,572.0
Brunswick,2,u,410000.0,5.2,2.0,1.0,1.0,0.0
Balwyn North,3,h,1800000.0,9.2,3.0,1.0,1.0,809.0
Bundoora,3,h,714000.0,12.1,3.0,1.0,2.0,412.0
St Albans,3,h,582000.0,14.0,3.0,1.0,0.0,674.0
Hampton,4,h,1515000.0,13.7,4.0,2.0,0.0,611.0
Balwyn North,3,h,1480000.0,9.2,3.0,1.0,2.0,992.0
Newport,3,h,828000.0,8.4,3.0,1.0,2.0,459.0
South Yarra,2,u,650000.0,3.3,2.0,1.0,1.0,0.0
Greenvale,4,h,730000.0,20.4,4.0,2.0,1.0,633.0
Aberfeldie,1,u,280000.0,7.5,1.0,1.0,1.0,0.0
Hawthorn East,3,h,2225000.0,6.2,3.0,1.0,2.0,616.0
Hawthorn,5,h,3950000.0,4.6,4.0,2.0,3.0,1236.0
Taylors Hill,5,h,725500.0,18.0,5.0,3.0,2.0,450.0
Heidelberg West,2,h,725000.0,9.4,2.0,1.0,3.0,632.0
Ascot Vale,3,h,1350000.0,5.9,3.0,1.0,3.0,575.0
Sandringham,4,h,1660000.0,15.2,4.0,2.0,2.0,390.0
Hadfield,3,h,840000.0,12.1,3.0,1.0,2.0,608.0
Armadale,2,u,704000.0,6.3,2.0,1.0,1.0,0.0
Preston,4,h,830000.0,8.4,4.0,1.0,2.0,540.0
Hawthorn East,3,u,780000.0,7.5,3.0,1.0,1.0,0.0
Heidelberg Heights,3,h,631000.0,10.5,3.0,1.0,1.0,596.0
South Melbourne,2,h,1151000.0,1.9,2.0,1.0,,128.0
Newport,3,h,1330000.0,6.2,3.0,1.0,3.0,758.0
Richmond,2,u,1667500.0,2.4,2.0,2.0,2.0,92.0
Burwood East,3,h,930000.0,14.7,3.0,2.0,2.0,369.0
Hampton,3,u,810000.0,13.7,3.0,1.0,1.0,195.0
Hampton,5,h,2500000.0,13.8,5.0,4.0,2.0,627.0
Templestowe Lower,4,h,1375000.0,12.4,4.0,2.0,1.0,662.0
Camberwell,5,h,2000000.0,7.8,5.0,3.0,2.0,801.0
Caulfield North,2,u,570000.0,8.1,2.0,1.0,2.0,0.0
West Melbourne,3,h,1750000.0,1.9,3.0,1.0,1.0,160.0
Bentleigh East,3,h,1115000.0,13.9,3.0,2.0,2.0,1080.0
Hawthorn East,1,u,560000.0,6.2,1.0,1.0,1.0,803.0
Middle Park,2,h,1515000.0,4.1,3.0,1.0,0.0,98.0
Reservoir,2,h,875000.0,12.0,2.0,1.0,2.0,519.0
Seddon,3,h,847000.0,6.6,3.0,1.0,1.0,205.0
Port Melbourne,4,t,2455000.0,3.5,4.0,3.0,2.0,123.0
Hawthorn East,4,h,2381000.0,7.5,4.0,2.0,2.0,457.0
Flemington,3,h,1085000.0,4.4,3.0,1.0,1.0,180.0
Altona,3,h,712000.0,13.8,3.0,1.0,2.0,363.0
Kealba,4,h,560000.0,15.0,4.0,2.0,2.0,612.0
Caulfield North,2,u,536000.0,8.1,2.0,1.0,1.0,771.0
Reservoir,2,u,405000.0,11.2,2.0,1.0,1.0,171.0
Keilor East,3,h,915000.0,12.8,3.0,1.0,2.0,610.0
Essendon,3,h,983000.0,8.0,3.0,3.0,2.0,309.0
Thomastown,3,h,715500.0,15.3,3.0,1.0,2.0,685.0
Bentleigh,4,h,2255000.0,13.0,4.0,3.0,2.0,557.0
Murrumbeena,2,u,603000.0,12.1,4.0,1.0,1.0,102.0
Malvern,2,u,569000.0,7.4,2.0,1.0,2.0,0.0
Fawkner,3,h,670000.0,12.4,3.0,1.0,3.0,587.0
Tullamarine,3,t,555000.0,12.9,3.0,2.0,2.0,286.0
Newport,2,h,962000.0,8.4,2.0,1.0,1.0,402.0
Hawthorn,1,u,375000.0,5.3,1.0,1.0,1.0,0.0
Sunshine West,3,h,472500.0,13.5,3.0,1.0,1.0,586.0
Middle Park,3,h,2600000.0,4.1,3.0,1.0,1.0,279.0
Northcote,3,h,926000.0,5.5,3.0,1.0,2.0,380.0
Toorak,2,u,682000.0,4.1,2.0,1.0,1.0,713.0
Essendon North,2,u,415500.0,9.4,2.0,1.0,1.0,82.0
Fawkner,3,h,690000.0,12.4,3.0,2.0,2.0,576.0
Coburg North,4,h,895000.0,9.2,4.0,2.0,2.0,661.0
Coburg,2,h,996000.0,6.7,2.0,1.0,1.0,476.0
Glenroy,2,u,442000.0,13.0,3.0,1.0,1.0,245.0
Heidelberg,4,u,915000.0,8.9,4.0,2.0,2.0,419.0
Brunswick West,3,h,910000.0,5.9,3.0,1.0,2.0,717.0
Malvern,3,t,1390000.0,7.4,3.0,2.0,1.0,227.0
Airport West,2,u,500000.0,13.5,2.0,1.0,1.0,168.0
West Footscray,2,t,510000.0,8.2,2.0,2.0,1.0,0.0
Flemington,2,u,390000.0,4.4,2.0,1.0,1.0,472.0
Hawthorn,2,u,485000.0,4.6,2.0,1.0,1.0,0.0
Reservoir,3,h,502500.0,11.2,2.0,1.0,2.0,491.0
South Yarra,1,u,390500.0,3.3,1.0,1.0,0.0,775.0
Bentleigh East,3,t,670000.0,13.9,3.0,1.0,2.0,233.0
Bentleigh,3,h,1199000.0,11.4,3.0,1.0,2.0,383.0
St Albans,3,h,645000.0,14.0,3.0,1.0,1.0,690.0
Flemington,2,u,450000.0,4.4,2.0,1.0,1.0,0.0
Airport West,3,h,510000.0,13.5,3.0,1.0,1.0,488.0
Windsor,3,h,1850000.0,5.1,3.0,1.0,2.0,361.0
Sunshine,3,h,610000.0,12.6,3.0,1.0,0.0,705.0
Kew East,3,h,1650000.0,7.3,3.0,1.0,2.0,650.0
Flemington,1,u,280000.0,4.4,1.0,1.0,1.0,0.0
Bentleigh,4,h,1430000.0,13.0,4.0,2.0,2.0,611.0
Werribee,4,h,514000.0,14.7,4.0,2.0,2.0,639.0
Reservoir,2,t,615000.0,11.2,2.0,1.0,1.0,202.0
Elwood,2,u,680000.0,7.7,2.0,1.0,1.0,0.0
Port Melbourne,4,h,1375000.0,3.8,4.0,1.0,1.0,190.0
Collingwood,3,t,897500.0,1.6,3.0,2.0,1.0,82.0
Brighton East,4,h,1650000.0,10.7,5.0,3.0,2.0,598.0
Albert Park,2,h,1000000.0,3.3,2.0,1.0,0.0,288.0
Essendon,2,u,445000.0,8.0,2.0,1.0,1.0,916.0
Pascoe Vale,4,h,822000.0,9.9,4.0,2.0,2.0,250.0
Vermont,4,t,975000.0,17.2,4.0,2.0,2.0,0.0
Mill Park,3,h,650000.0,17.9,3.0,2.0,1.0,661.0
Gladstone Park,4,h,670000.0,12.9,4.0,2.0,3.0,213.0
Moorabbin,4,h,1016000.0,14.6,4.0,3.0,2.0,272.0
Preston,2,h,799900.0,8.8,2.0,1.0,2.0,460.0
Ashburton,4,h,2085000.0,11.0,4.0,2.0,2.0,705.0
Moonee Ponds,2,u,330000.0,6.9,3.0,1.0,1.0,0.0
Bentleigh East,2,h,722000.0,13.9,2.0,2.0,1.0,201.0
Glen Iris,4,h,2625000.0,9.2,4.0,3.0,2.0,840.0
Carlton,3,h,920000.0,1.6,3.0,1.0,0.0,98.0
Rosanna,4,h,1610000.0,11.4,4.0,1.0,4.0,1613.0
Bentleigh,2,u,710000.0,13.0,2.0,1.0,3.0,225.0
Albert Park,3,h,2340000.0,3.0,3.0,2.0,1.0,162.0
Moonee Ponds,2,t,800000.0,6.9,2.0,2.0,2.0,239.0
Brighton East,3,t,1230000.0,10.7,3.0,2.0,2.0,297.0
Mentone,2,u,641000.0,20.0,2.0,1.0,1.0,0.0
Fitzroy North,1,u,381000.0,3.6,1.0,1.0,1.0,454.0
Bentleigh East,3,t,935000.0,13.9,3.0,2.0,2.0,230.0
Windsor,3,h,1320000.0,5.1,3.0,1.0,0.0,365.0
Port Melbourne,4,h,1915000.0,3.8,4.0,3.0,1.0,323.0
Sunshine,3,h,880000.0,12.6,3.0,1.0,3.0,463.0
Elwood,2,u,630000.0,7.2,2.0,1.0,1.0,637.0
Balaclava,2,u,410000.0,6.6,2.0,1.0,2.0,0.0
Kew East,4,h,2000000.0,7.3,4.0,1.0,1.0,704.0
Beaumaris,3,h,1354000.0,17.3,3.0,1.0,2.0,612.0
Strathmore,4,h,1625000.0,8.2,4.0,3.0,2.0,224.0
St Kilda,2,u,1100000.0,6.1,2.0,1.0,2.0,1458.0
Doncaster,4,h,1480000.0,13.9,4.0,2.0,2.0,656.0
Balwyn North,4,h,1670000.0,9.2,4.0,3.0,2.0,689.0
Bentleigh,2,u,760000.0,13.0,2.0,1.0,1.0,192.0
Viewbank,2,u,546000.0,13.8,2.0,1.0,1.0,177.0
Coburg,5,h,1020000.0,7.8,5.0,2.0,4.0,381.0
Kew,5,h,2550000.0,5.6,5.0,4.0,2.0,597.0
Caulfield South,4,h,1774500.0,9.3,4.0,2.0,2.0,575.0
Brunswick East,3,h,1495000.0,4.5,3.0,1.0,1.0,259.0
Travancore,2,u,315000.0,5.3,2.0,1.0,1.0,0.0
Blackburn,3,h,1070000.0,13.4,3.0,1.0,2.0,448.0
Bentleigh East,3,u,920000.0,13.9,3.0,2.0,1.0,388.0
Bentleigh East,3,u,800000.0,13.9,3.0,2.0,2.0,261.0
St Kilda,3,h,1361000.0,6.1,3.0,1.0,0.0,246.0
Dingley Village,4,h,854000.0,22.2,4.0,2.0,2.0,676.0
Maidstone,4,h,1048000.0,9.2,3.0,2.0,1.0,647.0
Melton South,3,h,341000.0,29.8,3.0,2.0,4.0,578.0
Thornbury,3,h,1346000.0,6.5,3.0,2.0,2.0,349.0
Preston,3,h,1100000.0,8.8,3.0,2.0,4.0,637.0
Armadale,4,h,3660000.0,6.3,4.0,3.0,2.0,421.0
Ascot Vale,2,u,570000.0,5.9,2.0,1.0,1.0,0.0
Surrey Hills,4,h,1930000.0,11.2,4.0,2.0,2.0,867.0
Port Melbourne,2,h,1355000.0,3.5,2.0,1.0,0.0,156.0
Bentleigh East,3,h,1266000.0,13.9,3.0,1.0,3.0,676.0
Port Melbourne,3,h,1665000.0,3.5,3.0,3.0,2.0,121.0
Sunshine West,4,h,625000.0,13.5,4.0,2.0,2.0,611.0
Reservoir,2,u,350000.0,11.2,2.0,1.0,1.0,102.0
Werribee,3,h,515000.0,14.7,3.0,2.0,1.0,251.0
Aberfeldie,2,u,380000.0,9.1,2.0,1.0,1.0,622.0
Elwood,2,u,500000.0,7.7,2.0,1.0,1.0,0.0
Kingsville,3,h,760000.0,7.8,3.0,1.0,1.0,350.0
Sunshine West,3,h,586000.0,13.5,3.0,1.0,1.0,701.0
Gowanbrae,3,h,700000.0,13.6,3.0,2.0,2.0,691.0
Prahran,1,u,399000.0,4.6,1.0,1.0,0.0,0.0
Braybrook,3,h,680000.0,10.8,3.0,1.0,1.0,565.0
Ashwood,4,h,1350000.0,12.2,4.0,2.0,1.0,727.0
Coburg,3,h,1180000.0,7.8,3.0,2.0,2.0,588.0
Carnegie,3,h,1490000.0,11.4,3.0,2.0,1.0,371.0
Bentleigh,3,h,1222500.0,13.0,3.0,2.0,2.0,299.0
Hawthorn,4,h,5050000.0,4.6,4.0,4.0,2.0,905.0
Altona North,3,h,770000.0,9.4,3.0,1.0,2.0,549.0
Hawthorn,4,h,2100000.0,4.6,4.0,1.0,2.0,383.0
Yarraville,3,t,620000.0,7.0,3.0,3.0,1.0,0.0
Surrey Hills,3,h,1185000.0,11.2,3.0,2.0,2.0,267.0
Reservoir,3,h,855000.0,12.0,3.0,1.0,2.0,464.0
Moonee Ponds,2,h,1015000.0,6.9,2.0,1.0,1.0,228.0
Yarraville,4,h,800000.0,6.3,4.0,2.0,2.0,277.0
Chadstone,3,t,930000.0,11.7,3.0,2.0,1.0,0.0
Thornbury,3,h,1280000.0,6.5,3.0,1.0,1.0,253.0
Thornbury,2,u,371000.0,6.5,2.0,1.0,1.0,0.0
Sunshine North,3,h,670000.0,13.3,3.0,1.0,2.0,532.0
Albert Park,3,h,1960000.0,3.0,3.0,2.0,,152.0
Mitcham,2,u,695000.0,17.2,2.0,1.0,1.0,300.0
Strathmore,3,t,925000.0,9.7,3.0,3.0,1.0,555.0
Mill Park,3,h,705000.0,17.9,3.0,2.0,2.0,531.0
Glen Iris,4,h,2376000.0,9.2,4.0,2.0,2.0,652.0
Abbotsford,3,h,1375000.0,3.0,3.0,1.0,0.0,299.0
Kingsville,2,h,735000.0,6.4,2.0,1.0,1.0,170.0
Hadfield,4,h,918000.0,12.1,4.0,2.0,2.0,763.0
Strathmore,3,h,1160000.0,9.7,3.0,1.0,1.0,651.0
Strathmore,3,h,1285000.0,9.7,3.0,2.0,2.0,616.0
South Melbourne,3,u,680000.0,2.1,3.0,2.0,2.0,0.0
Cheltenham,4,h,1740000.0,17.9,4.0,2.0,2.0,721.0
Mount Waverley,3,h,1385000.0,14.2,3.0,1.0,2.0,807.0
West Footscray,3,h,756000.0,8.2,3.0,1.0,1.0,353.0
Croydon North,6,h,1350000.0,23.0,6.0,4.0,4.0,4413.0
Kew,4,h,2625000.0,5.6,4.0,2.0,2.0,717.0
Sunshine North,3,h,665000.0,13.3,3.0,1.0,2.0,707.0
Hawthorn,4,h,3225000.0,4.6,4.0,2.0,2.0,665.0
St Kilda,1,u,380000.0,6.1,1.0,1.0,1.0,2879.0
Carnegie,3,h,1390000.0,11.4,3.0,2.0,2.0,585.0
Keilor East,3,h,935000.0,12.8,3.0,1.0,2.0,662.0
Mentone,2,u,525000.0,20.0,2.0,1.0,1.0,723.0
Bentleigh East,3,t,1030000.0,13.9,3.0,2.0,2.0,327.0
Fitzroy North,4,h,1870000.0,3.6,4.0,3.0,1.0,248.0
Bentleigh,3,h,1968500.0,13.0,3.0,2.0,2.0,674.0
Travancore,2,h,1100000.0,5.3,2.0,1.0,1.0,321.0
Carnegie,2,u,796000.0,10.1,2.0,1.0,2.0,0.0
Wollert,2,t,401000.0,25.5,2.0,1.0,1.0,115.0
Watsonia North,4,h,710000.0,14.5,4.0,1.0,3.0,541.0
Southbank,2,u,580000.0,1.2,2.0,1.0,1.0,0.0
Reservoir,3,h,925000.0,12.0,3.0,1.0,2.0,676.0
Glenroy,2,t,400000.0,11.2,2.0,1.0,1.0,102.0
Reservoir,2,u,440000.0,11.2,2.0,1.0,1.0,183.0
Port Melbourne,3,h,1380000.0,3.8,3.0,1.0,0.0,0.0
Williamstown,5,h,2760000.0,6.8,5.0,2.0,2.0,646.0
Altona North,2,h,510000.0,9.4,2.0,1.0,1.0,170.0
Heidelberg,2,t,690000.0,10.6,2.0,1.0,1.0,110.0
Brighton,2,t,1400000.0,11.2,2.0,2.0,1.0,267.0
Brunswick West,2,u,380000.0,5.9,2.0,1.0,1.0,0.0
Strathmore,3,h,622500.0,9.7,3.0,2.0,2.0,254.0
West Footscray,1,h,280000.0,6.4,1.0,1.0,1.0,45.0
Reservoir,4,h,851000.0,11.2,4.0,2.0,2.0,581.0
Alphington,4,h,1900000.0,6.4,4.0,2.0,2.0,556.0
Sunshine,3,h,762500.0,12.6,3.0,1.0,1.0,510.0
Yarraville,3,t,1120000.0,7.0,3.0,2.0,0.0,152.0
Sunshine West,3,h,625000.0,13.5,3.0,1.0,2.0,650.0
Craigieburn,3,h,716000.0,20.6,3.0,2.0,6.0,1005.0
Mentone,3,h,950000.0,20.0,3.0,1.0,2.0,531.0
Box Hill,3,t,822500.0,13.1,3.0,2.0,1.0,238.0
Taylors Lakes,5,h,1300000.0,15.5,5.0,3.0,2.0,771.0
Hawthorn East,1,u,440000.0,7.5,1.0,1.0,1.0,2306.0
St Kilda,3,h,2000000.0,6.1,3.0,2.0,2.0,176.0
Oakleigh,2,h,305000.0,14.0,2.0,1.0,1.0,0.0
Frankston,5,h,715000.0,38.0,5.0,2.0,1.0,1424.0
Ascot Vale,5,h,1905000.0,5.9,5.0,2.0,2.0,521.0
Hawthorn,2,u,1080000.0,5.3,2.0,2.0,2.0,6996.0
Frankston,2,u,266000.0,38.0,2.0,1.0,1.0,0.0
Bonbeach,4,t,1830000.0,27.0,4.0,3.0,2.0,353.0
Yarraville,2,u,501344.0,7.0,2.0,1.0,1.0,0.0
Essendon,3,h,1460000.0,8.0,3.0,2.0,1.0,605.0
Mount Waverley,2,u,611000.0,14.2,2.0,1.0,1.0,161.0
Preston,3,h,850000.0,8.4,3.0,1.0,2.0,485.0
St Kilda,3,u,1000000.0,6.1,3.0,1.0,0.0,0.0
Werribee,3,h,490000.0,14.7,3.0,2.0,2.0,536.0
Doncaster,4,h,1225000.0,13.9,4.0,3.0,2.0,740.0
Kensington,2,u,460000.0,4.2,2.0,1.0,1.0,0.0
Heidelberg West,2,h,620000.0,9.4,2.0,1.0,2.0,668.0
Cremorne,2,u,662500.0,2.5,2.0,1.0,1.0,0.0
Wantirna,3,h,1070000.0,14.7,3.0,2.0,2.0,673.0
Bentleigh,3,h,895000.0,13.0,3.0,1.0,2.0,0.0
Wheelers Hill,5,h,1223000.0,16.7,5.0,3.0,2.0,762.0
Fawkner,3,t,492000.0,12.4,3.0,1.0,1.0,208.0
Oakleigh South,4,h,1120000.0,15.5,4.0,2.0,2.0,564.0
Essendon,4,h,1965000.0,8.0,4.0,2.0,4.0,704.0
Heidelberg Heights,2,t,565000.0,10.5,2.0,2.0,1.0,201.0
West Footscray,3,h,935000.0,8.2,3.0,1.0,2.0,325.0
Deer Park,3,h,650000.0,14.8,3.0,1.0,2.0,697.0
Kew,4,h,2240000.0,5.6,4.0,2.0,2.0,820.0
Ascot Vale,2,h,920000.0,4.3,2.0,2.0,0.0,234.0
Maidstone,3,t,895000.0,6.4,3.0,2.0,2.0,262.0
Reservoir,3,h,785000.0,11.2,3.0,1.0,1.0,719.0
Port Melbourne,1,u,420000.0,3.8,1.0,1.0,1.0,0.0
Vermont,3,h,865000.0,17.2,3.0,1.0,2.0,603.0
Malvern,2,u,640000.0,7.4,2.0,2.0,1.0,0.0
Windsor,1,u,275000.0,5.1,1.0,1.0,1.0,0.0
Point Cook,4,h,690000.0,14.7,4.0,2.0,2.0,540.0
Camberwell,2,u,692500.0,7.7,2.0,1.0,1.0,145.0
Thornbury,4,h,928500.0,6.5,4.0,2.0,2.0,538.0
Brighton East,2,u,585000.0,10.3,2.0,1.0,1.0,0.0
Strathmore,4,h,920000.0,9.7,4.0,1.0,1.0,390.0
Doncaster,4,h,1255000.0,12.4,4.0,2.0,1.0,670.0
Caulfield North,1,u,290000.0,8.1,1.0,1.0,1.0,952.0
Collingwood,3,u,1000000.0,1.6,3.0,2.0,2.0,0.0
Fairfield,2,u,602000.0,5.8,2.0,1.0,1.0,0.0
Mulgrave,4,h,1080000.0,18.8,4.0,2.0,2.0,914.0
Fitzroy North,3,u,674000.0,3.5,3.0,1.0,1.0,0.0
Elwood,1,u,520000.0,7.7,1.0,1.0,1.0,0.0
Surrey Hills,4,h,1725000.0,11.2,3.0,2.0,2.0,798.0
Kensington,3,h,813500.0,4.2,3.0,1.0,1.0,165.0
Footscray,2,h,757500.0,6.4,2.0,1.0,0.0,258.0
Prahran,2,u,473000.0,4.5,2.0,1.0,1.0,0.0
Coburg,2,t,876000.0,6.7,2.0,2.0,1.0,134.0
Yarraville,2,u,497600.0,7.0,2.0,1.0,1.0,0.0
Richmond,2,u,530000.0,2.6,2.0,1.0,1.0,0.0
Armadale,3,h,1939000.0,6.3,3.0,2.0,2.0,296.0
Flemington,3,h,1220000.0,3.4,3.0,1.0,1.0,293.0
Essendon,3,h,1100000.0,8.0,3.0,1.0,2.0,0.0
Pascoe Vale,3,h,1199000.0,8.5,3.0,2.0,4.0,689.0
Elwood,2,u,687500.0,7.7,2.0,1.0,1.0,0.0
Yarraville,4,h,1785000.0,7.0,4.0,2.0,2.0,640.0
Keilor East,4,h,732000.0,12.8,4.0,2.0,2.0,544.0
Toorak,2,t,2100000.0,4.6,2.0,2.0,3.0,457.0
Brunswick East,2,h,1015000.0,4.5,2.0,1.0,0.0,137.0
Carnegie,3,h,1530000.0,10.1,3.0,1.0,1.0,684.0
Essendon West,4,t,652500.0,9.8,4.0,2.0,1.0,179.0
Essendon North,3,t,800000.0,8.2,3.0,2.0,1.0,161.0
Richmond,2,h,1102000.0,2.6,2.0,1.0,1.0,167.0
St Kilda,2,h,1440000.0,6.1,2.0,1.0,2.0,194.0
Bentleigh East,3,h,845000.0,13.9,3.0,2.0,2.0,295.0
Williamstown,3,h,1200000.0,8.0,3.0,2.0,2.0,315.0
Elwood,2,u,480000.0,7.2,2.0,1.0,1.0,1210.0
Camberwell,3,h,1700000.0,7.8,3.0,1.0,1.0,970.0
Armadale,6,h,5525000.0,6.3,5.0,3.0,4.0,1491.0
Williamstown,4,h,1330000.0,8.0,4.0,3.0,2.0,217.0
Preston,3,h,910000.0,8.8,3.0,1.0,1.0,674.0
Camberwell,3,h,1861000.0,7.8,3.0,2.0,2.0,324.0
Forest Hill,3,t,850500.0,15.4,3.0,2.0,2.0,353.0
Thomastown,3,h,651000.0,15.3,3.0,1.0,2.0,555.0
South Melbourne,2,u,593000.0,2.1,2.0,2.0,1.0,0.0
Essendon,3,h,1315000.0,7.5,3.0,3.0,1.0,226.0
Fawkner,4,h,874000.0,13.1,4.0,1.0,2.0,687.0
Kew,4,h,2250000.0,5.6,4.0,3.0,2.0,741.0
Balwyn,4,h,1900000.0,9.7,4.0,2.0,1.0,665.0
Brighton East,3,u,880000.0,10.7,3.0,2.0,2.0,304.0
Altona Meadows,4,h,750000.0,15.5,4.0,2.0,2.0,636.0
Dandenong,2,u,370000.0,24.7,2.0,1.0,1.0,135.0
Ashwood,2,u,700000.0,12.2,2.0,1.0,2.0,192.0
Toorak,2,u,725000.0,4.1,2.0,1.0,1.0,0.0
Hawthorn East,3,u,935000.0,7.5,3.0,2.0,1.0,144.0
Glen Waverley,5,h,1832000.0,16.7,5.0,2.0,2.0,803.0
Kew,3,h,1510000.0,5.4,3.0,1.0,2.0,446.0
Kew,4,h,2045000.0,5.4,4.0,3.0,2.0,523.0
Werribee,3,h,452000.0,14.7,3.0,1.0,3.0,567.0
Balwyn,4,h,2275000.0,9.7,4.0,2.0,1.0,842.0
Bentleigh,3,h,1100000.0,13.0,3.0,2.0,2.0,0.0
Armadale,4,h,3000000.0,6.3,4.0,2.0,2.0,1581.0
Sunshine,4,h,700000.0,12.6,4.0,2.0,1.0,807.0
Williamstown,2,u,465000.0,8.0,2.0,1.0,1.0,0.0
Preston,3,h,855000.0,8.8,3.0,1.0,2.0,584.0
Cremorne,1,u,425000.0,2.5,1.0,1.0,1.0,0.0
Moonee Ponds,4,h,1450000.0,6.2,4.0,2.0,3.0,465.0
Hampton,4,h,2550000.0,13.8,4.0,2.0,2.0,620.0
