Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,label
Malvern East,3,h,1800000.0,8.4,3.0,2.0,1.0,460.0,Southern Metropolitan
Toorak,1,u,247500.0,4.6,1.0,1.0,1.0,0.0,Southern Metropolitan
Diggers Rest,3,h,435000.0,27.7,3.0,1.0,2.0,608.0,Western Metropolitan
Port Melbourne,4,h,1375000.0,3.8,4.0,1.0,1.0,190.0,Southern Metropolitan
Elwood,2,u,570000.0,7.7,2.0,1.0,1.0,0.0,Southern Metropolitan
Montmorency,3,h,700000.0,16.2,3.0,1.0,3.0,615.0,Eastern Metropolitan
Brunswick West,3,h,1010000.0,5.2,3.0,2.0,4.0,413.0,Northern Metropolitan
Albert Park,3,h,2615000.0,3.3,3.0,2.0,1.0,177.0,Southern Metropolitan
Footscray,1,u,240000.0,5.1,1.0,1.0,1.0,1015.0,Western Metropolitan
Ormond,2,u,440000.0,11.4,2.0,1.0,1.0,1100.0,Southern Metropolitan
Hughesdale,4,h,1570000.0,12.3,4.0,2.0,1.0,455.0,Southern Metropolitan
South Yarra,1,u,410000.0,2.7,1.0,1.0,1.0,0.0,Southern Metropolitan
Brighton East,2,u,620000.0,10.3,2.0,1.0,1.0,972.0,Southern Metropolitan
Coburg,2,h,981000.0,7.8,2.0,1.0,1.0,263.0,Northern Metropolitan
Glenroy,4,h,1217500.0,13.0,4.0,3.0,2.0,693.0,Northern Metropolitan
Highett,4,h,1535000.0,16.0,4.0,2.0,2.0,719.0,Southern Metropolitan
Rowville,5,h,870000.0,23.5,5.0,2.0,2.0,733.0,South-Eastern Metropolitan
Lalor,3,h,801000.0,16.3,3.0,1.0,1.0,852.0,Northern Metropolitan
Clifton Hill,2,u,712000.0,3.4,2.0,1.0,1.0,36.0,Northern Metropolitan
Kingsville,1,h,630000.0,7.8,1.0,1.0,1.0,370.0,Western Metropolitan
Brighton East,3,h,1650000.0,10.3,3.0,2.0,2.0,623.0,Southern Metropolitan
Hoppers Crossing,3,h,520000.0,18.4,3.0,2.0,2.0,530.0,Western Metropolitan
Alphington,1,u,320000.0,6.4,1.0,1.0,1.0,915.0,Northern Metropolitan
Doncaster,4,h,1050000.0,13.9,4.0,2.0,2.0,317.0,Eastern Metropolitan
Brunswick West,2,u,497000.0,5.9,2.0,1.0,1.0,0.0,Northern Metropolitan
Mordialloc,4,h,800000.0,21.5,4.0,3.0,3.0,638.0,South-Eastern Metropolitan
Kensington,3,h,1165000.0,4.2,3.0,1.0,0.0,239.0,Northern Metropolitan
Rowville,4,h,936000.0,23.5,4.0,2.0,2.0,675.0,South-Eastern Metropolitan
Surrey Hills,4,h,1750000.0,11.2,4.0,2.0,3.0,817.0,Southern Metropolitan
Port Melbourne,3,h,1030000.0,3.5,3.0,1.0,0.0,130.0,Southern Metropolitan
Balwyn,3,h,2380000.0,7.9,3.0,2.0,2.0,752.0,Southern Metropolitan
Balwyn North,5,h,2600000.0,9.7,5.0,4.0,2.0,708.0,Southern Metropolitan
Coburg,2,h,930000.0,7.8,2.0,1.0,0.0,275.0,Northern Metropolitan
Reservoir,3,h,650000.0,11.2,3.0,1.0,1.0,700.0,Northern Metropolitan
Sunbury,3,h,516000.0,31.7,3.0,2.0,3.0,588.0,Western Metropolitan
Windsor,2,u,854000.0,5.1,2.0,1.0,1.0,774.0,Southern Metropolitan
Bentleigh East,5,h,1220000.0,13.8,5.0,2.0,2.0,611.0,Southern Metropolitan
Hawthorn,2,h,1535000.0,4.6,2.0,1.0,0.0,243.0,Southern Metropolitan
Glen Waverley,3,h,2450000.0,16.7,3.0,1.0,0.0,984.0,Eastern Metropolitan
Strathmore,3,h,883000.0,8.2,3.0,1.0,1.0,534.0,Western Metropolitan
Moonee Ponds,3,h,1400000.0,6.9,3.0,2.0,2.0,597.0,Western Metropolitan
Kensington,1,u,370000.0,4.2,1.0,1.0,2.0,0.0,Northern Metropolitan
Brunswick West,2,u,380000.0,5.9,2.0,1.0,1.0,0.0,Northern Metropolitan
Ashburton,4,h,1800000.0,11.0,4.0,2.0,4.0,749.0,Southern Metropolitan
Dingley Village,3,h,736000.0,22.2,3.0,1.0,1.0,545.0,South-Eastern Metropolitan
Bentleigh East,4,t,1325000.0,13.9,4.0,4.0,2.0,363.0,Southern Metropolitan
Werribee,3,h,412500.0,14.7,3.0,1.0,1.0,583.0,Western Metropolitan
Kew East,4,h,1610000.0,7.5,4.0,2.0,2.0,763.0,Southern Metropolitan
Reservoir,2,t,710000.0,12.0,2.0,2.0,1.0,126.0,Northern Metropolitan
Coburg,5,h,1335000.0,7.8,5.0,3.0,2.0,390.0,Northern Metropolitan
Toorak,2,u,1010000.0,4.6,2.0,2.0,2.0,586.0,Southern Metropolitan
Sunshine,2,u,425500.0,12.6,2.0,1.0,0.0,153.0,Western Metropolitan
Armadale,2,u,704000.0,6.3,2.0,1.0,1.0,0.0,Southern Metropolitan
Malvern,1,u,456000.0,7.4,1.0,1.0,1.0,4721.0,Southern Metropolitan
Windsor,3,h,2368000.0,5.1,3.0,2.0,1.0,322.0,Southern Metropolitan
Doncaster,4,u,885000.0,12.4,4.0,2.0,2.0,493.0,Eastern Metropolitan
Brunswick,4,h,1500000.0,5.2,4.0,1.0,1.0,318.0,Northern Metropolitan
Pascoe Vale,3,u,515000.0,9.9,3.0,1.0,2.0,0.0,Northern Metropolitan
Oakleigh,4,h,2525000.0,14.0,4.0,2.0,0.0,1143.0,Southern Metropolitan
Preston,3,h,1010000.0,8.8,3.0,1.0,2.0,486.0,Northern Metropolitan
Toorak,4,h,5500000.0,4.6,4.0,4.0,5.0,877.0,Southern Metropolitan
Bentleigh East,3,t,1030000.0,13.9,3.0,2.0,2.0,327.0,Southern Metropolitan
Preston,2,t,660000.0,8.8,2.0,1.0,1.0,113.0,Northern Metropolitan
Beaumaris,3,h,1589000.0,17.3,3.0,2.0,2.0,596.0,Southern Metropolitan
Mitcham,3,h,902000.0,17.2,3.0,2.0,2.0,327.0,Eastern Metropolitan
Flemington,2,u,365000.0,4.4,2.0,1.0,1.0,0.0,Northern Metropolitan
Kew,3,h,1800000.0,5.6,4.0,2.0,1.0,336.0,Southern Metropolitan
Ascot Vale,2,h,710000.0,5.9,2.0,1.0,1.0,214.0,Western Metropolitan
Prahran,4,h,2300000.0,4.6,4.0,2.0,2.0,291.0,Southern Metropolitan
Newport,4,h,1650000.0,8.4,4.0,1.0,4.0,837.0,Western Metropolitan
North Melbourne,2,u,726000.0,2.3,2.0,1.0,1.0,0.0,Northern Metropolitan
Reservoir,3,h,655000.0,11.2,2.0,1.0,1.0,644.0,Northern Metropolitan
Preston,3,h,881000.0,8.4,3.0,1.0,2.0,470.0,Northern Metropolitan
Hawthorn East,1,u,320000.0,7.5,1.0,1.0,1.0,0.0,Southern Metropolitan
Camberwell,2,u,530000.0,7.8,2.0,1.0,1.0,0.0,Southern Metropolitan
Coburg,3,h,1070000.0,6.7,3.0,1.0,2.0,392.0,Northern Metropolitan
Thornbury,2,h,1010000.0,7.0,2.0,1.0,0.0,245.0,Northern Metropolitan
Collingwood,2,u,855000.0,1.6,2.0,1.0,1.0,2886.0,Northern Metropolitan
Fawkner,3,h,585000.0,12.4,0.0,1.0,1.0,605.0,Northern Metropolitan
Maribyrnong,2,t,400000.0,8.7,2.0,1.0,2.0,54.0,Western Metropolitan
Reservoir,3,h,750000.0,12.0,3.0,1.0,3.0,611.0,Northern Metropolitan
Altona,3,h,840000.0,13.8,3.0,2.0,2.0,534.0,Western Metropolitan
Essendon West,3,h,925000.0,9.8,3.0,2.0,2.0,544.0,Western Metropolitan
Albion,1,u,185000.0,13.9,1.0,1.0,1.0,2347.0,Western Metropolitan
Balwyn,4,t,1450000.0,7.9,4.0,3.0,2.0,232.0,Southern Metropolitan
Moonee Ponds,1,u,286000.0,6.2,1.0,1.0,1.0,114.0,Western Metropolitan
Glenroy,3,h,932000.0,11.2,3.0,1.0,1.0,639.0,Northern Metropolitan
Brunswick,2,u,692000.0,5.2,2.0,1.0,1.0,0.0,Northern Metropolitan
Kensington,2,h,1234500.0,4.2,2.0,2.0,2.0,169.0,Northern Metropolitan
Balwyn,3,t,1810000.0,7.9,3.0,2.0,2.0,400.0,Southern Metropolitan
Brunswick,4,h,1802500.0,5.2,4.0,3.0,1.0,238.0,Northern Metropolitan
West Footscray,2,h,888000.0,8.2,2.0,1.0,2.0,401.0,Western Metropolitan
Elwood,3,t,940000.0,7.7,3.0,1.0,1.0,0.0,Southern Metropolitan
Canterbury,3,h,1800000.0,9.0,3.0,2.0,2.0,316.0,Southern Metropolitan
Gladstone Park,4,h,749000.0,12.9,4.0,2.0,2.0,561.0,Western Metropolitan
Essendon,2,u,480000.0,8.0,2.0,1.0,1.0,0.0,Western Metropolitan
Essendon,3,u,891000.0,8.0,3.0,2.0,1.0,0.0,Western Metropolitan
South Yarra,4,h,1855500.0,2.7,4.0,2.0,1.0,176.0,Southern Metropolitan
Kew,5,h,3160000.0,5.6,5.0,5.0,2.0,811.0,Southern Metropolitan
North Melbourne,2,u,585000.0,2.3,2.0,1.0,1.0,0.0,Northern Metropolitan
Reservoir,1,u,216000.0,11.2,2.0,1.0,1.0,0.0,Northern Metropolitan
Sunshine North,3,h,670000.0,13.3,3.0,1.0,2.0,532.0,Western Metropolitan
Thornbury,3,h,1250000.0,7.0,3.0,1.0,2.0,695.0,Northern Metropolitan
Sunshine,3,h,715000.0,12.6,3.0,1.0,2.0,558.0,Western Metropolitan
Frankston South,2,h,910000.0,38.0,2.0,1.0,2.0,894.0,South-Eastern Metropolitan
Yallambie,3,h,602500.0,15.0,3.0,2.0,2.0,586.0,Northern Metropolitan
Essendon,3,h,1700000.0,8.0,3.0,2.0,1.0,763.0,Western Metropolitan
Rosanna,3,h,860000.0,11.4,3.0,1.0,2.0,583.0,Eastern Metropolitan
Melton,3,h,295000.0,31.7,3.0,1.0,4.0,600.0,Western Victoria
Bentleigh East,2,h,1630000.0,13.9,2.0,1.0,2.0,724.0,Southern Metropolitan
Port Melbourne,2,u,816000.0,3.5,2.0,1.0,1.0,0.0,Southern Metropolitan
Oakleigh,4,h,1180000.0,14.0,4.0,1.0,2.0,604.0,Southern Metropolitan
Hadfield,2,u,487000.0,12.1,2.0,1.0,2.0,198.0,Northern Metropolitan
Coburg,2,t,770000.0,6.7,2.0,1.0,1.0,600.0,Northern Metropolitan
Fairfield,3,h,1055000.0,5.8,3.0,1.0,2.0,382.0,Northern Metropolitan
Heidelberg Heights,3,t,706750.0,10.5,3.0,2.0,2.0,250.0,Eastern Metropolitan
Port Melbourne,1,u,400000.0,3.8,1.0,1.0,1.0,0.0,Southern Metropolitan
Footscray,4,h,1225000.0,6.4,4.0,2.0,1.0,319.0,Western Metropolitan
Glen Waverley,3,h,1275000.0,16.7,3.0,2.0,2.0,714.0,Eastern Metropolitan
Glenroy,3,u,470000.0,13.0,3.0,1.0,2.0,187.0,Northern Metropolitan
Hawthorn,1,u,455000.0,5.3,1.0,1.0,1.0,0.0,Southern Metropolitan
Hampton,3,h,2120000.0,13.8,3.0,1.0,3.0,753.0,Southern Metropolitan
Hadfield,2,t,468000.0,12.1,2.0,1.0,1.0,137.0,Northern Metropolitan
Keilor,3,h,875000.0,14.5,3.0,1.0,2.0,722.0,Western Metropolitan
Pascoe Vale,3,h,1114000.0,8.5,3.0,2.0,2.0,256.0,Northern Metropolitan
Ascot Vale,2,u,432000.0,5.9,2.0,1.0,1.0,0.0,Western Metropolitan
Aspendale,4,h,1150000.0,21.5,4.0,2.0,2.0,599.0,South-Eastern Metropolitan
Reservoir,1,h,351000.0,12.0,1.0,1.0,1.0,168.0,Northern Metropolitan
Thornbury,3,h,1110000.0,6.5,3.0,1.0,1.0,562.0,Northern Metropolitan
Elwood,2,u,1122000.0,7.7,2.0,2.0,1.0,0.0,Southern Metropolitan
Parkville,1,u,395000.0,2.6,1.0,1.0,1.0,2469.0,Northern Metropolitan
Canterbury,3,h,1680000.0,9.0,3.0,2.0,1.0,325.0,Southern Metropolitan
Bulleen,3,h,1230000.0,10.8,3.0,1.0,1.0,757.0,Eastern Metropolitan
Wantirna,4,h,925000.0,14.7,4.0,3.0,4.0,534.0,Eastern Metropolitan
Seaholme,3,h,860000.0,12.7,3.0,2.0,2.0,537.0,Western Metropolitan
Brunswick,2,h,542000.0,5.2,2.0,1.0,1.0,0.0,Northern Metropolitan
Sunshine North,4,h,626800.0,13.3,4.0,1.0,2.0,581.0,Western Metropolitan
Hawthorn East,5,h,1700000.0,7.5,5.0,3.0,2.0,431.0,Southern Metropolitan
Glen Waverley,5,h,1285000.0,16.7,5.0,2.0,1.0,651.0,Eastern Metropolitan
Preston,3,t,875000.0,8.4,3.0,2.0,2.0,214.0,Northern Metropolitan
Dingley Village,4,h,915000.0,22.2,4.0,2.0,2.0,649.0,South-Eastern Metropolitan
Frankston,3,h,515000.0,38.0,3.0,1.0,4.0,602.0,South-Eastern Metropolitan
Ringwood,2,u,655000.0,19.9,2.0,1.0,1.0,306.0,Eastern Metropolitan
St Kilda,5,h,4400000.0,6.1,5.0,4.0,4.0,657.0,Southern Metropolitan
Coburg,5,h,1020000.0,7.8,5.0,2.0,4.0,381.0,Northern Metropolitan
Ferntree Gully,3,h,904000.0,24.8,3.0,1.0,3.0,1014.0,Eastern Metropolitan
Surrey Hills,3,h,2100000.0,10.2,3.0,1.0,9.0,841.0,Southern Metropolitan
Burwood,4,u,800000.0,11.7,4.0,2.0,1.0,0.0,Southern Metropolitan
Keysborough,4,h,1250000.0,25.2,4.0,2.0,2.0,560.0,South-Eastern Metropolitan
Kew,4,h,2375000.0,5.4,4.0,3.0,2.0,481.0,Southern Metropolitan
Newport,2,h,800000.0,8.4,2.0,1.0,1.0,244.0,Western Metropolitan
Ascot Vale,3,h,1180000.0,5.9,3.0,2.0,2.0,617.0,Western Metropolitan
Bentleigh,7,h,1005000.0,13.0,7.0,3.0,4.0,607.0,Southern Metropolitan
Canterbury,2,u,690500.0,9.0,2.0,1.0,1.0,118.0,Southern Metropolitan
Ivanhoe East,4,h,1660000.0,9.0,4.0,2.0,2.0,830.0,Eastern Metropolitan
Oak Park,3,h,892000.0,11.5,3.0,1.0,3.0,757.0,Northern Metropolitan
Boronia,5,h,2020000.0,25.0,5.0,3.0,0.0,2735.0,Eastern Metropolitan
Richmond,3,h,1100000.0,2.6,2.0,2.0,1.0,126.0,Northern Metropolitan
Newport,1,h,1700000.0,8.4,1.0,1.0,0.0,622.0,Western Metropolitan
Doveton,3,h,545000.0,28.8,3.0,1.0,1.0,700.0,South-Eastern Metropolitan
Brighton,2,t,960000.0,11.2,2.0,1.0,2.0,363.0,Southern Metropolitan
Sunshine,3,h,679500.0,12.6,3.0,1.0,1.0,351.0,Western Metropolitan
Sandringham,3,h,1725000.0,15.2,3.0,1.0,2.0,493.0,Southern Metropolitan
St Kilda,2,u,530000.0,6.1,2.0,1.0,1.0,6186.0,Southern Metropolitan
Northcote,4,h,1700000.0,5.3,4.0,3.0,4.0,422.0,Northern Metropolitan
Taylors Hill,3,h,530000.0,18.0,3.0,2.0,1.0,343.0,Western Metropolitan
South Yarra,3,u,1430000.0,2.7,3.0,3.0,1.0,913.0,Southern Metropolitan
Brunswick,2,u,480000.0,5.2,2.0,1.0,1.0,557.0,Northern Metropolitan
Doncaster East,4,h,1320000.0,14.3,4.0,3.0,2.0,654.0,Eastern Metropolitan
Balaclava,2,u,520000.0,6.6,2.0,1.0,0.0,0.0,Southern Metropolitan
Brunswick East,1,u,370000.0,4.5,1.0,1.0,1.0,0.0,Northern Metropolitan
Watsonia,4,h,788800.0,14.5,4.0,2.0,4.0,631.0,Northern Metropolitan
Mount Waverley,3,h,1385000.0,14.2,3.0,1.0,2.0,807.0,Eastern Metropolitan
Oakleigh South,4,h,1310000.0,14.7,4.0,2.0,4.0,993.0,South-Eastern Metropolitan
Kew,3,h,1350000.0,5.4,3.0,2.0,1.0,275.0,Southern Metropolitan
Doncaster East,3,h,1482000.0,14.3,3.0,1.0,3.0,713.0,Eastern Metropolitan
Williamstown,2,h,811000.0,8.0,2.0,1.0,2.0,183.0,Western Metropolitan
Kensington,5,h,1001000.0,4.2,3.0,1.0,0.0,301.0,Northern Metropolitan
Hampton,3,t,1660000.0,13.8,3.0,2.0,2.0,478.0,Southern Metropolitan
Moonee Ponds,3,h,1550000.0,6.9,3.0,2.0,3.0,477.0,Western Metropolitan
Heidelberg Heights,2,h,757000.0,10.5,2.0,2.0,2.0,275.0,Eastern Metropolitan
Reservoir,3,h,935000.0,12.0,3.0,1.0,2.0,768.0,Northern Metropolitan
Fawkner,3,t,577000.0,13.1,3.0,1.0,1.0,164.0,Northern Metropolitan
Brunswick West,4,h,921500.0,5.9,3.0,1.0,1.0,575.0,Northern Metropolitan
South Melbourne,2,u,595000.0,2.1,2.0,1.0,1.0,0.0,Southern Metropolitan
Hawthorn East,2,u,500000.0,7.5,2.0,1.0,1.0,710.0,Southern Metropolitan
Moonee Ponds,5,h,1730000.0,6.9,5.0,1.0,1.0,584.0,Western Metropolitan
Brighton,2,u,800000.0,11.2,2.0,1.0,1.0,131.0,Southern Metropolitan
Pascoe Vale,3,h,755000.0,9.9,3.0,2.0,2.0,294.0,Northern Metropolitan
Keilor East,4,h,835000.0,12.8,4.0,2.0,3.0,708.0,Western Metropolitan
Bentleigh,3,t,1303000.0,13.0,3.0,2.0,2.0,334.0,Southern Metropolitan
Reservoir,1,h,395000.0,11.2,1.0,1.0,1.0,94.0,Northern Metropolitan
Hawthorn,3,h,2325000.0,4.6,3.0,2.0,1.0,373.0,Southern Metropolitan
Footscray,2,h,575000.0,6.4,2.0,1.0,1.0,162.0,Western Metropolitan
Niddrie,3,u,800000.0,11.2,3.0,2.0,1.0,0.0,Western Metropolitan
Carnegie,4,h,1667000.0,11.4,4.0,2.0,2.0,615.0,Southern Metropolitan
Pascoe Vale,2,t,480000.0,9.9,2.0,1.0,1.0,113.0,Northern Metropolitan
Highett,4,h,1220000.0,16.0,4.0,1.0,2.0,633.0,Southern Metropolitan
Glen Iris,4,h,1760000.0,9.2,4.0,3.0,3.0,622.0,Southern Metropolitan
Bentleigh East,3,h,1525000.0,13.8,3.0,1.0,3.0,581.0,Southern Metropolitan
Surrey Hills,2,h,1250000.0,11.2,2.0,2.0,1.0,323.0,Southern Metropolitan
Richmond,2,h,900000.0,2.6,2.0,1.0,0.0,95.0,Northern Metropolitan
Middle Park,2,h,1630000.0,4.1,2.0,1.0,0.0,152.0,Southern Metropolitan
Essendon,3,h,1240000.0,8.0,3.0,2.0,2.0,307.0,Western Metropolitan
Melbourne,3,u,750000.0,2.8,3.0,2.0,1.0,0.0,Northern Metropolitan
Kensington,4,h,975000.0,4.2,4.0,3.0,1.0,0.0,Northern Metropolitan
Forest Hill,4,h,1350000.0,15.4,4.0,2.0,2.0,653.0,Eastern Metropolitan
Preston,3,h,1017500.0,8.4,3.0,1.0,2.0,592.0,Northern Metropolitan
Ormond,2,h,1668000.0,11.8,3.0,1.0,2.0,595.0,Southern Metropolitan
Balwyn,4,h,1475000.0,7.9,4.0,3.0,5.0,380.0,Southern Metropolitan
Ormond,3,u,900000.0,11.8,3.0,1.0,1.0,265.0,Southern Metropolitan
Richmond,2,u,660000.0,2.4,2.0,1.0,1.0,4422.0,Northern Metropolitan
Balwyn,3,h,3401000.0,9.7,3.0,2.0,1.0,706.0,Southern Metropolitan
Templestowe Lower,3,h,982000.0,13.8,4.0,2.0,2.0,652.0,Eastern Metropolitan
Maribyrnong,4,h,1117000.0,8.7,4.0,3.0,2.0,325.0,Western Metropolitan
Yarraville,3,h,1450000.0,7.0,3.0,2.0,2.0,542.0,Western Metropolitan
Niddrie,3,h,975000.0,11.2,3.0,1.0,1.0,822.0,Western Metropolitan
Werribee,4,h,645000.0,14.7,4.0,2.0,2.0,702.0,Western Metropolitan
Hughesdale,2,u,420000.0,13.0,2.0,1.0,1.0,0.0,Southern Metropolitan
Reservoir,3,h,785000.0,11.2,3.0,1.0,1.0,719.0,Northern Metropolitan
Abbotsford,4,h,1542000.0,2.5,4.0,3.0,1.0,0.0,Northern Metropolitan
Gowanbrae,3,t,532000.0,13.6,3.0,2.0,1.0,149.0,Western Metropolitan
Moonee Ponds,2,u,542000.0,6.9,2.0,2.0,1.0,0.0,Western Metropolitan
Glen Iris,3,h,2000000.0,9.2,2.0,1.0,2.0,821.0,Southern Metropolitan
Bentleigh East,4,h,1150000.0,13.9,4.0,2.0,2.0,639.0,Southern Metropolitan
Hadfield,3,u,465000.0,12.1,3.0,1.0,1.0,225.0,Northern Metropolitan
Avondale Heights,3,h,585000.0,10.5,3.0,1.0,2.0,322.0,Western Metropolitan
Pascoe Vale,4,h,975000.0,9.9,4.0,1.0,1.0,733.0,Northern Metropolitan
Braybrook,3,t,441700.0,10.8,3.0,2.0,1.0,145.0,Western Metropolitan
Mitcham,3,h,1101000.0,17.2,3.0,1.0,2.0,774.0,Eastern Metropolitan
Caulfield South,2,h,825000.0,9.3,2.0,1.0,1.0,367.0,Southern Metropolitan
Murrumbeena,2,u,660000.0,10.1,2.0,1.0,1.0,109.0,Southern Metropolitan
Pascoe Vale,3,h,900000.0,9.9,3.0,1.0,1.0,570.0,Northern Metropolitan
Hampton East,3,h,1060000.0,13.8,3.0,2.0,3.0,465.0,Southern Metropolitan
Camberwell,4,h,2500000.0,7.7,4.0,2.0,3.0,947.0,Southern Metropolitan
Bulleen,4,h,1300000.0,11.8,4.0,1.0,2.0,717.0,Eastern Metropolitan
Frankston North,3,h,493000.0,36.9,3.0,1.0,1.0,657.0,Eastern Victoria
Seddon,3,h,1180000.0,5.1,3.0,1.0,0.0,198.0,Western Metropolitan
Hampton,5,h,3201000.0,13.7,5.0,3.0,2.0,760.0,Southern Metropolitan
Glenroy,3,h,500000.0,13.0,3.0,1.0,1.0,589.0,Northern Metropolitan
Camberwell,2,u,600800.0,7.7,2.0,1.0,1.0,1625.0,Southern Metropolitan
North Melbourne,2,u,598000.0,2.3,2.0,1.0,1.0,0.0,Northern Metropolitan
Box Hill,2,t,990000.0,13.1,2.0,1.0,1.0,257.0,Eastern Metropolitan
Maidstone,2,h,468000.0,6.4,2.0,1.0,2.0,312.0,Western Metropolitan
Footscray,3,h,760000.0,6.4,3.0,1.0,1.0,265.0,Western Metropolitan
Kensington,2,u,460000.0,4.2,2.0,1.0,1.0,0.0,Northern Metropolitan
Aberfeldie,3,h,2050000.0,7.5,3.0,2.0,6.0,402.0,Western Metropolitan
Boronia,3,h,785000.0,25.0,3.0,2.0,2.0,723.0,Eastern Metropolitan
Richmond,1,u,306000.0,2.6,1.0,1.0,1.0,0.0,Northern Metropolitan
Ascot Vale,4,h,1480000.0,5.9,4.0,2.0,2.0,597.0,Western Metropolitan
Strathmore,3,h,1650000.0,8.2,3.0,3.0,2.0,698.0,Western Metropolitan
Hillside,4,h,1111000.0,18.0,4.0,2.0,2.0,2002.0,Western Metropolitan
Braybrook,3,t,560000.0,8.6,3.0,1.0,1.0,158.0,Western Metropolitan
Sunshine West,4,h,510000.0,13.5,4.0,1.0,1.0,672.0,Western Metropolitan
Collingwood,2,h,1320000.0,1.6,2.0,2.0,1.0,0.0,Northern Metropolitan
Rosanna,3,h,1155000.0,11.4,3.0,2.0,1.0,608.0,Eastern Metropolitan
Fawkner,3,h,631000.0,12.4,3.0,2.0,2.0,297.0,Northern Metropolitan
Williamstown North,2,u,367500.0,8.9,2.0,1.0,1.0,0.0,Western Metropolitan
Canterbury,2,u,913000.0,9.0,2.0,1.0,1.0,0.0,Southern Metropolitan
Balwyn North,3,h,1520000.0,9.2,3.0,1.0,2.0,622.0,Southern Metropolitan
St Kilda,2,u,615000.0,5.0,2.0,1.0,1.0,1123.0,Southern Metropolitan
Altona,4,h,890000.0,11.0,4.0,1.0,1.0,499.0,Western Metropolitan
Bentleigh East,3,t,780000.0,13.9,3.0,2.0,1.0,209.0,Southern Metropolitan
Murrumbeena,2,u,586000.0,12.1,2.0,2.0,1.0,0.0,Southern Metropolitan
Newport,3,t,730000.0,6.2,3.0,2.0,2.0,200.0,Western Metropolitan
Brunswick,3,h,1050000.0,5.2,3.0,1.0,1.0,239.0,Northern Metropolitan
Vermont South,4,h,1202000.0,17.2,4.0,2.0,2.0,650.0,Eastern Metropolitan
Armadale,3,t,1586000.0,6.3,2.0,2.0,2.0,246.0,Southern Metropolitan
Keysborough,3,h,770000.0,25.2,3.0,1.0,4.0,533.0,South-Eastern Metropolitan
Port Melbourne,3,h,2400000.0,3.8,3.0,2.0,2.0,368.0,Southern Metropolitan
Collingwood,3,u,1000000.0,1.6,3.0,2.0,2.0,0.0,Northern Metropolitan
Kensington,2,h,990000.0,3.4,2.0,1.0,0.0,165.0,Northern Metropolitan
Craigieburn,4,h,667000.0,20.6,4.0,2.0,2.0,480.0,Northern Metropolitan
Heidelberg,2,t,595000.0,10.6,2.0,1.0,1.0,88.0,Eastern Metropolitan
Coburg,2,u,653000.0,7.8,2.0,1.0,1.0,129.0,Northern Metropolitan
Cheltenham,4,h,1165000.0,17.9,4.0,2.0,2.0,594.0,Southern Metropolitan
Diggers Rest,6,h,615000.0,27.7,6.0,3.0,1.0,850.0,Western Metropolitan
Ascot Vale,4,h,1300000.0,5.9,4.0,1.0,4.0,664.0,Western Metropolitan
Parkville,2,u,900000.0,1.8,2.0,2.0,1.0,2431.0,Northern Metropolitan
Northcote,4,h,3850000.0,5.5,4.0,4.0,8.0,1390.0,Northern Metropolitan
Middle Park,2,h,1920000.0,4.1,2.0,1.0,0.0,152.0,Southern Metropolitan
Brighton,4,h,2640000.0,11.2,4.0,2.0,2.0,848.0,Southern Metropolitan
Glen Iris,3,h,1690000.0,7.3,3.0,1.0,2.0,625.0,Southern Metropolitan
Wyndham Vale,3,h,480000.0,27.2,3.0,1.0,2.0,743.0,Western Metropolitan
Brunswick,1,u,418000.0,5.2,1.0,1.0,1.0,0.0,Northern Metropolitan
Glen Iris,2,u,680000.0,9.2,2.0,1.0,1.0,0.0,Southern Metropolitan
Prahran,3,h,1651000.0,4.5,3.0,1.0,2.0,294.0,Southern Metropolitan
Preston,4,h,920000.0,8.8,3.0,1.0,1.0,396.0,Northern Metropolitan
Footscray,2,t,575000.0,5.1,2.0,2.0,1.0,88.0,Western Metropolitan
Ormond,3,h,940000.0,11.8,3.0,1.0,1.0,397.0,Southern Metropolitan
Preston,2,h,770000.0,8.8,2.0,2.0,1.0,76.0,Northern Metropolitan
Bentleigh East,3,t,670000.0,13.9,3.0,1.0,2.0,233.0,Southern Metropolitan
Sunshine West,3,h,593000.0,13.5,3.0,1.0,1.0,534.0,Western Metropolitan
North Melbourne,3,t,1000000.0,2.3,3.0,2.0,1.0,61.0,Northern Metropolitan
Thornbury,3,u,510000.0,6.5,3.0,1.0,1.0,0.0,Northern Metropolitan
Bentleigh East,3,t,760000.0,13.9,3.0,1.0,2.0,287.0,Southern Metropolitan
Broadmeadows,1,h,1100000.0,14.0,1.0,1.0,1.0,1312.0,Northern Metropolitan
Bentleigh East,3,h,1115000.0,13.9,3.0,2.0,2.0,1080.0,Southern Metropolitan
Collingwood,2,h,1135000.0,2.0,2.0,1.0,0.0,144.0,Northern Metropolitan
Ringwood,2,h,1040000.0,19.9,2.0,1.0,1.0,766.0,Eastern Metropolitan
Pascoe Vale,2,t,530000.0,8.5,2.0,2.0,1.0,135.0,Northern Metropolitan
Viewbank,3,u,440000.0,13.8,3.0,1.0,1.0,416.0,Eastern Metropolitan
Newport,3,h,1210000.0,8.4,3.0,1.0,1.0,546.0,Western Metropolitan
South Yarra,2,h,1460000.0,2.7,2.0,1.0,,175.0,Southern Metropolitan
Port Melbourne,2,h,1335000.0,3.5,2.0,1.0,0.0,181.0,Southern Metropolitan
